time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
06:58.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
06:58.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
06:58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
06:58.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
06:58.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
06:58.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
06:59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
06:59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
06:59.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
06:59.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
06:59.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
06:59.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
06:59.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
06:59.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
06:59.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:00.0,0,6,40,20,31,0,0,0,46,36,0,34,0,11,0,0,0,46,0,58,0,27,27,6,0,0,27,39,29,14,0
07:00.1,0,43,140,86,63,0,0,7,60,45,0,31,0,0,0,0,0,14,0,55,0,41,14,22,0,0,77,99,85,0,0
07:00.2,0,98,197,138,74,0,15,0,77,56,0,29,0,0,0,0,0,2,0,53,0,40,7,33,0,3,83,147,165,79,0
07:00.3,20,161,245,166,92,0,39,0,103,76,0,45,0,15,0,0,0,26,0,73,0,36,27,43,23,35,138,204,234,129,78
07:00.4,65,177,256,181,102,0,43,0,82,76,0,44,0,0,0,0,0,5,0,63,0,20,0,24,20,27,121,180,223,119,64
07:00.5,106,180,271,207,110,0,51,0,78,78,0,44,0,0,0,0,0,2,0,59,0,14,0,20,21,21,101,142,194,113,54
07:00.7,113,193,277,204,119,0,75,0,84,82,0,50,2,0,0,0,0,0,0,57,0,11,0,20,21,20,98,127,171,94,43
07:00.8,121,194,279,211,129,0,78,0,81,85,0,50,16,0,0,0,0,0,0,54,0,5,0,16,19,18,94,109,149,77,26
07:00.9,120,197,273,204,132,0,75,0,77,85,0,52,19,0,0,0,0,0,0,53,0,1,0,14,17,16,89,101,131,72,15
07:01.0,113,192,266,209,144,0,81,0,75,83,0,53,20,0,0,0,0,0,0,49,0,0,0,13,17,16,84,97,127,73,4
07:01.1,104,181,259,212,153,0,84,0,69,83,0,55,23,0,0,0,0,0,0,50,0,0,0,13,16,16,85,92,125,75,1
07:01.2,113,175,254,202,148,0,80,0,61,82,0,55,23,0,0,0,0,0,0,51,0,0,0,15,16,16,85,94,126,78,0
07:01.4,119,175,255,201,146,0,76,0,63,80,0,59,21,0,0,0,0,0,0,50,0,1,0,17,19,16,90,97,125,79,1
07:01.5,114,173,253,210,151,0,75,0,61,85,0,61,0,2,0,0,0,0,0,52,0,4,0,20,22,18,91,95,123,82,12
07:01.6,101,159,231,185,134,0,75,0,72,77,0,60,8,10,0,0,0,0,0,53,0,9,0,21,22,21,94,104,127,82,19
07:01.7,96,153,203,169,132,0,67,0,70,70,0,55,9,2,0,0,0,0,0,57,0,12,0,17,7,24,100,110,132,88,15
07:01.8,85,128,165,155,125,0,68,0,65,62,0,51,5,3,0,0,0,3,0,66,0,15,0,19,16,23,102,110,129,90,20
07:01.9,72,103,129,145,128,0,56,0,55,51,0,47,2,0,0,0,0,6,0,67,0,13,0,22,23,25,103,115,136,95,36
07:02.0,77,102,127,140,120,0,53,0,49,45,0,48,0,0,0,0,0,5,0,68,0,12,0,24,23,26,105,116,137,99,38
07:02.1,79,106,130,141,121,0,57,0,49,45,0,49,0,0,0,0,0,8,0,71,0,13,0,25,24,25,106,113,134,98,37
07:02.3,83,111,133,143,122,0,58,0,49,40,0,48,0,0,0,0,0,10,0,74,0,13,0,26,24,25,107,113,132,96,30
07:02.4,84,109,131,137,116,0,56,0,47,32,0,47,0,0,0,0,0,13,0,75,0,15,0,25,24,25,109,114,129,95,30
07:02.5,87,105,128,125,110,0,55,0,46,26,0,46,0,0,0,0,0,16,0,79,0,16,0,26,24,24,112,117,129,95,39
07:02.6,76,97,125,121,107,0,37,0,43,23,0,45,0,0,0,0,0,19,0,81,0,16,0,27,25,25,113,118,130,95,41
07:02.7,78,98,125,122,105,0,35,0,43,24,0,45,0,0,0,0,0,22,0,83,0,16,0,27,25,26,113,118,129,96,40
07:02.8,80,100,126,125,110,0,42,0,44,30,0,46,0,0,0,0,0,23,0,85,0,18,0,29,25,25,115,121,134,98,44
07:02.9,82,101,124,128,114,0,43,0,45,33,0,47,0,0,0,0,0,23,0,81,0,15,0,26,24,21,114,117,130,96,33
07:03.1,81,103,126,132,116,0,46,0,46,37,0,48,2,0,0,0,0,22,0,79,0,11,0,24,23,20,112,109,126,87,21
07:03.2,81,103,121,126,114,0,44,0,45,33,0,49,0,0,0,0,0,23,0,80,0,13,0,25,24,21,112,111,126,91,20
07:03.3,78,97,117,112,104,0,39,0,42,25,0,46,0,0,0,0,0,30,0,88,0,19,1,28,23,22,114,118,131,95,29
07:03.4,66,84,105,102,98,0,28,0,39,17,0,44,0,0,0,0,0,37,0,91,0,23,8,29,25,22,116,125,135,97,51
07:03.5,66,80,99,96,92,0,21,0,32,10,0,38,0,0,0,0,0,40,0,96,0,26,15,29,25,24,118,129,137,96,63
07:03.6,64,78,95,90,85,0,17,0,24,3,0,35,0,0,0,0,0,45,0,101,0,32,20,31,24,25,122,131,134,93,69
07:03.7,65,83,94,93,85,0,16,0,24,3,0,36,0,0,0,0,0,48,0,99,0,31,18,32,25,27,123,130,133,91,71
07:03.9,63,88,93,98,90,0,19,0,27,9,0,39,0,0,0,0,0,43,0,97,0,25,11,31,23,23,122,125,129,85,54
