time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
17:22:59.954,0,0,0,0,0,42,0,0,0,44,0,0,39,0,0, 
17:23:00.052,0,0,0,0,0,19,0,0,0,40,0,0,40,0,0, 
17:23:00.168,0,0,0,0,0,22,0,0,0,42,0,1,37,0,0, 
17:23:00.279,0,0,0,0,0,19,0,0,0,42,0,6,38,0,0, 
17:23:00.389,0,0,0,0,0,21,0,0,0,42,0,14,41,0,0, 
17:23:00.491,0,0,0,0,0,25,0,0,0,43,0,18,42,0,0, 
17:23:00.600,0,0,0,0,0,27,0,0,0,44,0,22,43,0,0, 
17:23:00.698,0,0,0,0,0,29,0,0,0,43,0,22,43,0,0, 
17:23:00.804,0,0,0,0,0,28,0,0,0,43,0,24,43,0,0, 
17:23:00.914,0,0,0,0,0,28,0,0,0,44,0,26,43,0,0, 
