time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
17:23:27.651,0,0,0,63,29,64,0,0,34,39,0,0,0,0,0, 
17:23:27.757,0,0,0,66,31,69,0,0,39,40,0,0,0,0,0, 
17:23:27.873,0,0,0,67,29,71,0,0,42,44,0,7,0,0,0, 
17:23:27.981,0,0,0,62,16,66,0,0,43,41,0,5,0,0,0, 
17:23:28.070,0,0,0,61,7,56,0,0,39,41,0,19,15,0,0, 
17:23:28.180,0,0,0,61,6,52,0,0,35,39,0,35,24,0,0, 
17:23:28.287,0,0,0,59,6,51,0,0,34,39,0,34,23,0,0, 
17:23:28.398,0,0,0,57,9,54,0,0,34,40,0,36,25,0,0, 
17:23:28.492,0,0,0,62,10,56,0,0,34,41,0,38,27,0,0, 
17:23:28.604,0,0,0,65,11,57,0,0,34,41,0,39,25,0,0, 
