time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
14:24:27.009,0,0,0,0,0,35,0,0,0,44,0,0,0,0,0, 
14:24:27.119,0,0,0,0,0,38,0,0,0,45,0,0,0,0,0, 
14:24:27.235,0,0,0,0,0,39,0,0,0,45,0,0,0,0,0, 
14:24:27.343,0,0,0,0,0,40,0,0,0,46,0,0,0,0,0, 
14:24:27.432,0,0,0,0,0,39,0,0,0,47,0,0,0,0,0, 
14:24:27.538,0,0,0,0,0,40,0,0,0,46,0,0,0,0,0, 
14:24:27.650,0,0,0,0,0,39,0,0,0,47,0,0,0,0,0, 
14:24:27.758,0,0,0,0,0,42,12,0,0,45,0,0,0,0,0, 
14:24:27.855,0,0,0,0,0,40,17,0,0,46,0,0,0,0,0, 
14:24:27.960,0,0,0,0,0,41,27,0,0,46,0,0,0,0,0, 
14:24:28.073,0,0,0,0,0,43,31,0,0,46,0,0,0,0,0, 
14:24:28.165,0,0,0,0,0,46,36,0,0,45,0,0,0,0,0, 
14:24:28.289,0,0,0,0,0,47,39,0,0,45,0,0,0,0,0, 
14:24:28.383,0,0,0,0,0,48,38,0,0,45,0,0,0,0,0, 
14:24:28.495,0,0,0,0,0,48,35,0,0,45,0,0,0,0,0, 
14:24:28.599,0,0,0,0,0,48,34,0,0,45,0,0,0,0,0, 
14:24:28.704,0,0,0,0,0,46,33,0,0,45,0,0,0,0,0, 
14:24:28.835,0,0,0,0,0,43,34,0,0,44,0,0,0,0,0, 
14:24:28.924,0,0,0,0,0,40,35,0,0,43,0,0,0,0,0, 
14:24:29.030,0,0,0,0,0,41,34,0,0,44,0,0,0,0,0, 
