time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31 
14:13:59.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0, 
14:13:59.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0, 
14:13:59.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0, 
14:13:59.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0, 
14:13:59.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0, 
14:13:59.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0, 
14:14:00.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0, 
14:14:00.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0, 
14:14:00.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0, 
14:14:00.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0, 
14:14:00.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0, 
14:14:00.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0, 
14:14:00.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0, 
14:14:00.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0, 
14:14:00.928,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0, 
14:14:01.023,0,0,0,0,0,0,0,0,0,44,0,46,162,0,64,0,4,0,67,29,0,0,0,0,0,0,0,0,0,0,0, 
14:14:01.130,0,0,0,0,0,0,0,0,45,80,0,99,0,93,0,23,0,14,0,66,0,80,66,57,0,0,0,0,0,0,0, 
14:14:01.259,0,0,0,0,0,0,0,52,109,121,0,129,0,101,0,63,0,63,0,135,0,137,131,140,107,27,0,1,15,19,0, 
14:14:01.393,0,21,130,68,88,0,12,10,85,56,0,94,0,64,0,31,0,29,0,116,0,131,114,95,96,20,22,52,34,77,45, 
14:14:01.487,0,11,47,127,131,0,0,0,41,7,0,49,0,36,0,10,0,11,0,81,0,68,69,59,78,3,84,133,123,59,17, 
14:14:01.622,22,0,25,126,127,0,1,0,22,0,0,43,0,31,0,11,0,23,0,89,0,83,54,43,85,0,109,121,117,5,0, 
14:14:01.692,20,0,14,108,115,0,28,0,12,12,8,45,110,33,0,14,0,37,0,95,0,86,44,22,87,0,113,78,103,40,0, 
14:14:01.815,16,0,13,94,108,0,28,0,9,16,71,52,160,34,0,16,0,43,0,99,0,84,44,23,89,0,107,42,92,47,4, 
14:14:01.936,0,0,14,92,100,0,32,0,11,20,103,56,164,44,0,20,0,44,0,98,0,66,44,26,92,0,94,15,79,41,13, 
14:14:02.052,5,0,14,107,105,0,43,23,27,31,139,63,173,54,0,28,0,58,0,106,0,61,46,30,91,0,75,11,56,33,13, 
