time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
16:43:17.976,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0, 
16:43:18.070,11,0,0,0,0,13,0,0,0,0,0,0,0,0,0, 
16:43:18.179,19,0,3,0,0,10,0,0,0,0,0,0,0,0,0, 
16:43:18.287,21,0,3,1,0,0,0,0,0,0,0,0,0,0,0, 
16:43:18.398,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:18.510,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:18.603,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:18.710,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:18.818,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:18.928,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:19.028,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:19.141,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:19.240,23,0,0,1,0,0,0,0,0,9,0,0,0,0,0, 
16:43:19.351,27,0,0,2,0,0,0,0,0,10,0,0,0,0,0, 
16:43:19.457,31,0,0,3,0,0,0,0,0,10,0,0,0,0,0, 
16:43:19.570,41,0,0,8,0,0,0,0,0,11,0,0,0,0,0, 
16:43:19.661,29,0,0,3,0,0,0,0,0,8,0,0,0,0,0, 
16:43:19.773,12,0,0,2,0,0,0,0,0,4,0,0,0,0,0, 
16:43:19.881,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0, 
16:43:19.994,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:20.085,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:20.202,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:20.303,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:20.425,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:20.522,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:20.633,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:20.709,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:20.836,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:20.927,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:43:21.058,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
