time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
16:41:10.592,0,13,31,47,7,27,6,0,0,18,0,0,0,0,0, 
16:41:10.696,0,15,32,46,8,22,0,0,0,21,0,0,0,0,0, 
16:41:10.803,0,12,26,45,5,20,0,0,0,23,0,0,0,0,0, 
16:41:10.903,0,11,22,45,2,18,0,0,0,26,0,0,0,0,0, 
16:41:11.007,0,13,27,46,4,20,0,0,0,26,0,0,0,0,0, 
16:41:11.114,0,13,28,46,5,21,0,0,0,27,0,0,0,0,0, 
16:41:11.224,0,12,27,46,5,20,0,0,0,28,0,0,0,0,0, 
16:41:11.336,0,13,27,47,5,17,0,0,0,30,0,0,0,0,0, 
16:41:11.432,0,13,26,46,5,16,0,0,0,31,0,0,0,0,0, 
16:41:11.538,0,14,28,46,7,16,0,0,0,32,0,0,0,0,0, 
16:41:11.646,0,14,28,46,8,16,0,0,0,32,0,0,0,0,0, 
16:41:11.757,0,15,28,47,9,16,0,0,0,33,0,0,0,0,0, 
16:41:11.855,0,15,29,47,10,16,0,0,0,33,0,0,0,0,0, 
16:41:11.981,0,15,29,48,10,17,0,0,0,32,0,0,0,0,0, 
16:41:12.095,0,14,30,47,9,14,0,0,0,29,0,0,0,0,0, 
16:41:12.189,0,16,30,46,8,13,0,0,0,27,0,0,0,0,0, 
16:41:12.294,0,15,30,45,10,12,0,0,0,25,0,0,0,0,0, 
16:41:12.407,0,13,30,45,9,12,0,0,0,25,0,0,0,0,0, 
16:41:12.516,0,13,29,46,9,12,0,0,0,25,0,0,0,0,0, 
16:41:12.624,0,12,29,45,7,12,0,0,0,25,0,0,0,0,0, 
16:41:12.713,0,12,29,45,8,10,0,0,0,26,0,0,0,0,0, 
16:41:12.820,0,12,29,45,8,10,0,0,0,25,0,0,0,0,0, 
16:41:12.927,0,12,29,45,8,10,0,0,0,24,0,0,0,0,0, 
16:41:13.039,0,12,29,45,8,10,0,0,0,24,0,0,0,0,0, 
16:41:13.149,0,11,29,46,8,10,0,0,0,25,0,0,0,0,0, 
16:41:13.241,0,8,28,46,7,10,0,0,0,25,0,0,0,0,0, 
16:41:13.349,0,8,28,45,9,10,0,0,0,24,0,0,0,0,0, 
16:41:13.450,0,7,29,46,8,10,0,0,0,24,0,0,0,0,0, 
16:41:13.558,0,10,31,46,9,10,0,0,0,24,0,0,0,0,0, 
16:41:13.689,0,9,31,47,10,11,0,0,0,24,0,0,0,0,0, 
