time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
11:41:16.272,0,0,0,13,54,53,0,0,71,85,0,0,0,0,13, 
11:41:16.382,0,0,0,20,56,56,0,0,58,84,0,0,0,0,5, 
11:41:16.476,0,0,0,26,57,62,0,0,48,83,0,0,0,0,2, 
11:41:16.602,0,0,0,29,62,65,0,0,43,81,0,0,0,0,1, 
11:41:16.696,0,0,2,35,71,85,0,0,45,81,0,0,0,0,0, 
11:41:16.807,0,0,38,44,77,98,0,0,48,82,0,0,0,0,0, 
11:41:16.917,0,0,40,44,76,96,0,0,49,83,0,0,0,0,0, 
11:41:17.025,0,0,49,47,77,96,0,0,47,83,0,0,0,0,0, 
11:41:17.116,1,0,48,48,78,94,0,0,45,83,0,0,0,0,0, 
11:41:17.280,2,0,47,49,79,95,0,0,41,82,0,0,0,0,0, 
