time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
16:36:33.913,0,0,0,19,0,7,0,0,0,0,0,0,0,0,0, 
16:36:34.023,0,0,0,23,0,11,0,0,0,0,0,0,0,0,0, 
16:36:34.132,0,0,0,32,0,21,0,0,0,5,0,0,0,0,0, 
16:36:34.242,0,0,0,37,0,21,0,0,0,9,0,0,0,0,0, 
16:36:34.363,0,0,0,35,0,17,0,0,0,16,0,0,0,0,0, 
16:36:34.446,0,0,0,34,0,13,0,0,0,23,0,0,0,0,0, 
16:36:34.556,0,0,0,33,0,14,0,0,0,26,0,0,0,0,0, 
16:36:34.664,0,0,0,31,0,12,0,0,0,28,0,0,0,0,0, 
16:36:34.773,0,0,0,30,0,11,0,0,0,30,0,0,0,0,0, 
16:36:34.881,0,0,0,30,0,12,0,0,0,32,0,0,0,0,0, 
16:36:34.991,0,0,0,30,0,13,0,0,0,33,0,0,0,0,0, 
16:36:35.084,0,0,0,30,0,13,0,0,0,34,0,0,0,0,0, 
16:36:35.194,0,0,0,31,0,13,0,0,0,35,0,0,0,0,0, 
16:36:35.302,0,0,0,32,0,13,0,0,0,36,0,0,0,0,0, 
16:36:35.413,0,0,0,32,0,14,0,0,0,36,0,0,0,0,0, 
16:36:35.510,0,0,0,32,0,14,0,0,0,35,0,0,0,0,0, 
16:36:35.616,0,0,0,32,0,13,0,0,0,34,0,0,0,0,0, 
16:36:35.711,0,0,0,32,0,14,0,0,0,32,0,0,0,0,0, 
16:36:35.828,0,0,0,31,0,13,0,0,0,32,0,0,0,0,0, 
16:36:35.934,0,0,0,31,0,12,0,0,0,32,0,0,0,0,0, 
16:36:36.047,0,0,0,30,0,12,0,0,0,31,0,0,0,0,0, 
16:36:36.153,0,0,0,30,0,13,0,0,0,31,0,0,0,0,0, 
16:36:36.256,0,0,0,30,0,13,0,0,0,31,0,0,0,0,0, 
16:36:36.366,0,0,0,30,0,11,0,0,0,35,0,0,0,0,0, 
16:36:36.473,0,0,0,29,0,12,0,0,0,37,0,0,0,0,0, 
16:36:36.583,0,0,0,30,0,14,0,0,0,35,0,0,0,0,0, 
16:36:36.680,0,0,0,26,0,14,0,0,0,40,0,0,0,0,0, 
16:36:36.786,0,0,0,18,0,8,0,0,0,42,0,0,0,0,0, 
16:36:36.896,0,0,0,15,0,7,0,0,0,36,0,0,0,0,0, 
16:36:36.990,0,0,0,15,0,7,0,0,0,34,0,0,0,0,0, 
16:36:37.104,0,0,0,16,0,8,0,0,0,32,0,0,0,0,0, 
16:36:37.210,0,0,0,16,0,8,0,0,0,31,0,0,0,0,0, 
16:36:37.305,0,0,0,17,0,8,0,0,0,30,0,0,0,0,0, 
16:36:37.414,0,0,0,18,0,7,0,0,0,28,0,0,0,0,0, 
16:36:37.540,0,0,0,18,0,6,0,0,0,27,0,0,0,0,0, 
16:36:37.648,0,0,0,17,0,6,0,0,0,25,0,0,0,0,0, 
16:36:37.751,0,0,0,17,0,3,0,0,0,27,0,0,0,0,0, 
16:36:37.852,0,0,0,17,0,5,0,0,0,28,0,0,0,0,0, 
16:36:37.959,0,0,0,16,0,4,0,0,0,28,0,0,0,0,0, 
16:36:38.070,0,0,0,16,0,5,0,0,0,31,0,0,0,0,0, 
16:36:38.162,0,0,0,16,0,5,0,0,0,31,0,0,0,0,0, 
16:36:38.273,0,0,0,14,0,6,0,0,0,33,0,0,0,0,0, 
16:36:38.382,0,0,0,12,0,7,0,0,0,33,0,0,0,0,0, 
16:36:38.491,0,0,0,12,0,7,0,0,0,31,0,0,0,0,0, 
16:36:38.602,0,0,0,13,0,7,0,0,0,31,0,0,0,0,0, 
16:36:38.693,0,0,0,14,0,8,0,0,0,33,0,0,0,0,0, 
16:36:38.786,0,0,0,15,0,10,0,0,0,35,0,0,0,0,0, 
16:36:38.895,0,0,0,15,0,11,0,0,0,36,0,0,0,0,0, 
16:36:39.023,0,0,0,16,0,12,0,0,0,35,0,0,0,0,0, 
16:36:39.123,0,0,0,17,0,12,0,0,0,35,0,0,0,0,0, 
