time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
13:17:01.468,0,0,0,0,0,0,0,0,0,8,0,19,41,29,9, 
13:17:01.564,0,0,0,0,0,0,0,0,0,16,0,26,42,30,11, 
13:17:01.679,0,0,0,0,0,0,0,0,14,33,0,41,47,34,12, 
13:17:01.789,0,0,0,0,0,0,0,0,23,39,0,58,48,37,14, 
13:17:01.896,0,0,0,0,29,17,0,0,38,49,0,71,49,35,13, 
13:17:01.997,0,0,2,0,46,33,0,0,40,57,0,72,42,24,2, 
13:17:02.111,0,0,2,0,42,29,0,0,40,57,0,70,40,22,0, 
13:17:02.218,0,0,4,0,44,24,0,0,41,60,0,73,42,26,2, 
13:17:02.331,0,0,17,0,50,37,0,0,42,64,0,77,44,29,3, 
13:17:02.435,0,0,19,0,53,36,0,0,37,60,0,72,40,19,5, 
13:17:02.530,0,0,20,0,51,36,0,0,33,52,0,64,37,4,4, 
13:17:02.644,0,0,21,0,47,29,0,0,34,52,0,53,25,0,1, 
13:17:02.752,0,0,23,0,46,23,0,0,27,49,0,47,23,0,0, 
13:17:02.858,0,0,23,0,48,25,0,0,28,47,0,44,20,0,0, 
13:17:02.969,0,0,20,0,47,22,0,0,30,47,0,47,23,0,0, 
13:17:03.080,0,0,4,0,35,7,0,0,28,45,0,46,30,4,3, 
13:17:03.174,0,0,7,0,39,9,0,0,31,47,0,54,38,19,6, 
13:17:03.279,0,0,14,0,43,14,0,0,33,48,0,62,39,21,6, 
13:17:03.383,0,0,18,0,51,24,0,0,37,51,0,67,42,26,7, 
13:17:03.484,0,0,8,0,56,26,0,0,40,52,0,68,43,28,8, 
13:17:03.599,0,0,3,0,53,16,0,0,37,48,0,66,40,24,7, 
13:17:03.710,0,0,2,0,51,19,0,0,36,48,0,58,32,8,0, 
13:17:03.811,0,0,3,0,52,16,0,0,40,48,0,59,33,8,0, 
13:17:03.924,0,0,2,0,49,16,0,0,40,48,0,57,31,6,0, 
13:17:04.025,0,0,2,0,49,15,0,0,41,48,0,60,33,6,0, 
13:17:04.133,0,0,2,0,49,15,0,0,40,49,0,62,35,6,0, 
13:17:04.237,0,0,2,0,50,14,0,0,40,48,0,62,35,5,0, 
13:17:04.344,0,0,2,0,50,15,0,0,40,48,0,61,34,4,0, 
13:17:04.451,0,0,1,0,50,13,0,0,37,47,0,59,32,1,0, 
13:17:04.564,0,0,0,0,48,10,0,0,37,47,0,58,31,0,0, 
13:17:04.673,0,0,0,0,46,9,0,0,37,47,0,58,32,2,1, 
13:17:04.765,0,0,0,0,47,10,0,0,38,48,0,60,34,4,1, 
13:17:04.869,0,0,0,0,47,11,0,0,38,48,0,59,34,3,1, 
13:17:04.983,0,0,0,0,47,10,0,0,36,47,0,58,32,0,0, 
13:17:05.087,0,0,0,0,46,10,0,0,35,46,0,56,30,0,0, 
13:17:05.213,0,0,1,0,46,9,0,0,34,45,0,56,30,0,0, 
13:17:05.311,0,0,1,0,48,11,0,0,32,46,0,55,31,9,2, 
13:17:05.413,0,0,1,0,53,17,0,0,38,56,0,68,44,32,14, 
13:17:05.523,0,0,2,0,57,18,0,0,36,61,0,75,49,37,21, 
13:17:05.628,0,0,0,0,62,24,0,0,38,60,0,73,52,33,22, 
13:17:05.734,0,0,0,0,49,5,0,0,25,53,0,67,43,21,16, 
13:17:05.846,0,0,0,0,44,4,0,0,30,46,0,52,36,14,12, 
13:17:05.946,0,0,0,0,48,16,0,0,32,46,0,50,35,11,10, 
13:17:06.054,0,0,0,0,56,33,0,0,34,44,0,45,31,2,8, 
13:17:06.162,0,0,0,0,47,7,0,0,36,46,0,47,31,1,5, 
13:17:06.272,0,0,0,0,42,4,0,0,31,44,0,47,32,2,6, 
13:17:06.360,0,0,0,0,37,1,0,0,26,42,0,47,32,1,6, 
13:17:06.467,0,0,0,0,39,2,0,0,28,42,0,45,30,0,8, 
13:17:06.577,0,0,0,0,40,4,0,0,28,44,0,44,30,0,6, 
13:17:06.687,0,0,0,0,41,6,0,0,28,41,0,39,26,0,4, 
