time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
14:27:58.935,0,0,8,13,29,34,2,0,0,20,0,0,0,0,0, 
14:27:59.048,0,0,13,15,34,40,40,0,0,21,0,0,0,0,0, 
14:27:59.151,0,0,13,17,38,45,54,0,0,25,0,0,0,0,0, 
14:27:59.258,0,0,15,19,42,46,61,0,0,25,0,0,0,0,0, 
14:27:59.366,0,0,19,21,51,54,66,0,0,30,0,0,0,0,0, 
14:27:59.478,0,0,24,24,58,55,72,0,0,31,0,0,0,0,0, 
14:27:59.570,0,0,24,23,59,55,69,0,0,32,0,0,0,0,0, 
14:27:59.695,0,0,18,18,54,52,66,0,0,31,0,0,0,0,0, 
14:27:59.790,0,0,19,18,53,50,64,0,0,31,0,0,0,0,0, 
14:27:59.899,0,0,18,18,54,50,64,0,0,30,0,0,0,0,0, 
