time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
18:49:48.304,0,0,0,20,10,34,0,0,26,50,0,2,0,0,2, 
18:49:48.414,0,0,0,35,9,40,0,0,20,50,0,0,0,0,0, 
18:49:48.513,0,0,0,40,5,47,0,0,7,49,0,0,0,0,0, 
18:49:48.619,0,0,0,40,0,51,0,0,0,48,0,0,0,0,0, 
18:49:48.727,0,0,0,42,0,54,0,0,0,50,0,0,0,0,0, 
18:49:48.820,0,0,0,39,0,50,0,0,0,50,0,0,0,0,0, 
18:49:48.931,0,0,0,32,0,42,0,0,0,51,0,0,0,0,0, 
18:49:49.038,0,0,0,35,0,42,0,0,0,51,0,0,0,0,0, 
18:49:49.131,0,0,0,34,0,40,0,0,0,50,0,0,0,0,0, 
18:49:49.249,0,0,0,36,0,42,0,0,0,51,0,0,0,0,0, 
18:49:49.375,0,0,0,39,0,45,0,0,0,52,0,0,0,0,0, 
18:49:49.474,0,0,0,37,0,43,0,0,0,55,0,0,0,0,0, 
18:49:49.593,0,0,0,39,0,44,0,0,0,56,0,0,0,0,0, 
18:49:49.687,0,0,0,40,0,44,0,0,0,56,0,0,0,0,0, 
18:49:49.788,0,0,0,39,0,45,0,0,0,57,0,0,0,0,0, 
18:49:49.896,0,0,0,38,0,45,0,0,0,57,0,7,0,0,0, 
18:49:50.004,0,0,0,40,0,44,0,0,0,57,0,15,0,0,0, 
18:49:50.108,0,0,0,40,0,45,0,0,0,58,0,19,0,0,0, 
18:49:50.202,0,0,0,42,0,44,0,0,0,56,0,11,0,0,0, 
18:49:50.331,0,0,0,43,0,44,0,0,0,53,0,6,0,0,0, 
