time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31 
12:57:04.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0, 
12:57:04.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0, 
12:57:04.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0, 
12:57:04.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0, 
12:57:04.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0, 
12:57:05.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0, 
12:57:05.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0, 
12:57:05.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0, 
12:57:05.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0, 
12:57:05.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0, 
12:57:05.685,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,13,12,0,71,0,57,20,0,0,0,0,0,0,0,0, 
12:57:05.797,0,0,0,0,0,0,0,3,35,40,0,35,0,35,0,29,33,64,8,103,0,100,90,57,0,0,0,0,0,0,0, 
12:57:05.899,0,0,0,0,0,0,0,7,25,26,0,28,0,16,0,35,27,75,7,127,0,104,108,101,0,2,40,0,14,18,0, 
12:57:06.009,0,0,50,29,0,0,0,15,37,29,0,12,0,8,0,23,29,94,25,192,0,146,152,167,110,18,73,0,0,41,0, 
12:57:06.118,0,64,88,37,49,0,0,0,22,11,0,12,0,0,0,39,26,44,27,169,0,136,120,140,146,29,90,3,0,62,31, 
12:57:06.227,0,58,65,76,73,0,0,0,2,19,0,15,0,0,0,35,23,5,20,75,0,62,72,72,120,29,78,47,7,86,29, 
12:57:06.353,0,52,69,93,84,0,0,15,27,33,0,10,0,0,0,12,20,2,23,75,0,66,63,40,105,15,68,8,0,72,0, 
12:57:06.462,0,60,129,122,96,0,27,43,72,69,0,32,0,0,0,0,15,14,8,79,0,50,13,25,61,9,60,0,0,27,0, 
12:57:06.570,0,92,176,146,101,0,53,80,105,97,0,48,16,6,0,0,7,24,0,88,0,33,0,16,4,12,43,0,0,0,0, 
12:57:06.679,0,98,182,157,106,0,86,114,125,115,7,57,63,8,0,0,4,19,0,61,0,13,0,6,0,9,29,0,0,0,0, 
12:57:06.789,23,94,192,178,115,0,111,132,135,121,59,56,107,2,0,0,1,8,0,46,0,9,0,2,0,6,21,0,0,0,0, 
12:57:06.917,44,79,171,159,118,0,132,129,139,126,171,38,156,0,0,0,0,0,0,15,0,1,0,0,0,13,7,0,0,0,0, 
12:57:07.042,49,67,150,123,106,0,151,134,144,133,244,44,204,0,0,0,0,0,0,3,0,2,1,0,0,28,8,0,0,0,0, 
12:57:07.132,59,83,171,141,97,0,156,140,144,117,256,31,215,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0, 
12:57:07.243,62,127,203,178,117,0,157,143,140,119,239,41,205,6,0,0,0,0,0,0,0,1,0,0,0,5,46,25,0,0,0, 
12:57:07.369,60,128,194,193,142,0,150,135,131,116,203,56,159,9,0,6,0,0,0,1,0,1,0,0,0,1,53,45,10,0,0, 
12:57:07.507,90,141,197,194,137,0,140,124,121,114,146,50,121,18,0,10,0,0,0,3,0,3,2,0,0,0,59,53,31,0,0, 
12:57:07.609,108,169,234,227,154,0,135,90,85,104,90,47,82,25,0,9,0,0,0,5,0,4,7,0,0,0,73,58,42,4,0, 
12:57:07.713,128,170,238,242,171,0,119,43,60,106,47,54,57,24,0,7,0,0,0,10,0,8,12,0,0,0,73,65,54,18,0, 
