time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
24:15.3,0,0,0,63,87,0,0,0,0,16,0,42,0,29,0,0,0,0,12,47,0,62,32,28,52,18,85,94,85,71,0
24:15.4,0,0,0,52,80,0,0,0,0,15,0,42,0,30,0,0,0,0,10,43,0,57,32,28,50,18,75,86,81,69,0
24:15.6,0,0,0,60,86,0,0,0,0,16,0,43,0,30,0,0,0,0,5,40,0,55,30,25,49,17,73,82,78,66,0
24:15.7,0,0,0,62,88,0,0,0,0,17,0,41,0,30,0,0,0,0,5,40,0,57,27,23,47,18,78,80,76,60,0
24:15.8,0,0,0,61,91,0,0,0,0,18,0,45,0,33,0,0,0,0,4,38,0,57,27,20,43,19,80,85,85,66,0
24:15.9,0,0,0,64,101,0,0,2,2,19,0,47,0,35,0,0,0,0,4,39,0,60,28,20,45,21,89,82,80,63,0
24:16.0,0,0,0,52,89,0,0,0,0,17,0,42,0,33,0,0,0,0,2,37,0,55,27,18,42,19,81,74,73,58,0
24:16.1,0,0,0,44,72,0,0,0,0,17,0,38,0,32,0,0,0,0,1,34,0,50,27,18,40,18,73,66,65,54,0
24:16.2,0,0,0,53,86,0,0,1,0,19,0,43,0,35,0,0,0,0,0,38,0,56,29,18,44,20,82,73,73,58,0
24:16.3,0,0,0,51,82,0,0,1,1,19,0,42,0,34,0,0,0,0,0,37,0,54,29,19,43,20,79,69,70,56,0
24:16.5,0,0,0,53,85,0,0,1,1,19,0,43,0,35,0,0,0,0,0,37,0,55,29,20,44,20,81,72,71,58,0
24:16.6,0,0,0,48,78,0,0,1,0,21,0,47,0,38,0,0,0,0,0,41,0,63,31,21,48,21,90,85,86,68,0
24:16.7,0,0,0,62,105,0,0,0,0,22,0,46,0,39,0,0,0,0,0,44,0,67,32,22,51,23,104,87,90,71,0
24:16.8,0,0,0,63,106,0,0,0,1,22,0,48,0,39,0,0,0,0,0,44,0,68,32,22,51,24,104,88,90,71,0
24:16.9,0,0,0,64,107,0,0,0,1,23,0,49,0,39,0,0,0,0,0,44,0,68,33,23,51,23,104,87,89,71,0
24:17.0,0,0,0,63,104,0,0,0,0,24,0,48,0,38,0,0,0,0,0,44,0,67,32,22,51,23,101,84,87,69,0
24:17.2,0,0,0,62,101,0,0,0,0,24,0,48,0,38,0,0,0,0,0,43,0,66,32,23,49,22,98,82,86,68,0
24:17.3,0,0,0,64,108,0,0,0,0,25,0,51,0,39,0,0,0,0,0,45,0,70,33,23,52,23,106,88,92,73,0
24:17.4,0,0,0,66,110,0,0,0,0,24,0,51,0,39,0,0,0,0,0,46,0,71,34,23,52,23,108,89,94,74,0
24:17.5,0,0,0,65,108,0,0,0,0,24,0,51,0,39,0,0,0,0,0,46,0,70,34,24,51,23,106,88,93,73,0
24:17.6,0,0,0,66,109,0,0,0,0,25,0,51,0,39,0,0,0,0,0,45,0,71,34,24,52,22,106,88,93,73,0
24:17.7,0,0,0,66,110,0,0,0,0,25,0,52,0,40,0,0,0,0,0,46,0,72,35,24,53,22,108,89,95,74,0
24:17.8,0,0,0,66,110,0,0,0,0,25,0,52,0,40,0,0,0,0,0,46,0,72,35,25,52,23,108,89,95,76,0
24:17.9,0,0,0,67,111,0,0,0,0,25,0,53,0,41,0,0,0,0,0,46,0,72,35,25,53,23,109,89,96,76,0
24:18.0,0,0,0,68,112,0,0,0,0,25,0,53,0,41,0,0,0,0,0,47,0,73,35,25,53,23,110,88,97,76,0
24:18.2,0,0,0,69,113,0,0,1,0,25,0,54,0,41,0,0,0,0,0,47,0,73,35,25,53,23,110,89,98,77,0
24:18.3,0,0,0,70,114,0,0,0,0,25,0,54,0,42,0,0,0,0,0,47,0,74,35,25,53,23,111,90,99,78,0
24:18.4,0,0,0,70,115,0,0,1,0,25,0,54,0,42,0,0,0,0,0,47,0,74,36,25,54,23,111,90,99,78,0
24:18.5,0,0,0,70,114,0,0,1,0,25,0,54,0,42,0,0,0,0,0,47,0,74,35,26,53,23,111,89,99,78,0
24:18.6,0,0,0,70,115,0,0,1,0,25,0,54,0,43,0,0,0,0,0,47,0,74,36,26,54,23,111,89,99,78,0
24:18.7,0,0,0,71,114,0,0,1,0,26,0,54,0,42,0,0,0,0,0,47,0,74,36,26,53,23,110,89,99,79,0
24:18.9,0,0,0,71,115,0,0,1,0,25,0,54,0,42,0,0,0,0,0,47,0,74,36,26,54,23,110,89,100,79,0
24:19.0,0,0,0,71,115,0,0,1,0,25,0,54,0,43,0,0,0,0,0,47,0,74,36,26,53,23,111,88,100,79,0
24:19.1,0,0,0,71,115,0,0,1,0,25,0,55,0,42,0,0,0,0,0,47,0,74,36,26,54,23,111,88,100,79,0
24:19.2,0,0,0,71,115,0,0,1,0,25,0,54,0,43,0,0,0,0,0,48,0,74,36,26,53,23,112,88,101,80,0
24:19.3,0,0,0,71,116,0,0,1,0,25,0,55,0,42,0,0,0,0,0,48,0,75,36,26,54,23,111,88,101,80,0
24:19.4,0,0,0,71,117,0,0,1,0,25,0,55,0,42,0,0,0,0,0,48,0,75,36,27,54,23,112,88,102,81,0
24:19.5,0,0,0,72,117,0,0,1,0,25,0,55,0,42,0,0,0,0,0,48,0,75,36,27,54,23,112,88,102,81,0
24:19.6,0,0,0,74,118,0,0,1,0,24,0,53,0,42,0,0,0,0,0,47,0,76,35,26,53,23,111,89,103,81,0
24:19.7,0,0,0,75,118,0,0,2,0,24,0,52,0,42,0,0,0,0,0,48,0,76,35,25,54,22,110,91,104,81,0
24:19.9,0,0,0,75,116,0,0,1,0,24,0,52,0,41,0,0,0,0,0,47,0,76,35,26,55,21,108,92,103,80,0
24:20.0,0,0,0,71,113,0,0,0,0,22,0,51,0,40,0,0,0,0,0,47,0,75,36,27,57,20,107,91,101,80,0
24:20.1,0,0,0,68,108,0,0,0,0,22,0,50,0,38,0,0,0,0,0,47,0,74,36,27,56,19,102,88,98,79,0
24:20.2,0,0,0,44,72,0,0,0,0,18,0,38,0,31,0,0,0,0,0,36,0,56,31,23,45,17,74,67,73,60,0
24:20.3,0,0,0,53,80,0,0,0,0,19,0,40,0,33,0,0,0,0,0,40,0,62,33,25,48,17,80,72,77,63,0
24:20.4,0,0,0,55,83,0,0,0,0,20,0,41,0,34,0,0,0,0,0,44,0,62,33,25,49,18,81,74,79,64,0
24:20.5,0,0,0,58,86,0,0,0,0,21,0,43,0,34,0,0,0,0,0,46,0,65,34,25,50,19,84,76,82,66,0
24:20.7,0,0,0,59,87,0,0,0,0,20,0,43,0,35,0,0,0,0,0,46,0,65,34,26,51,19,86,76,82,66,0
24:20.8,0,0,0,60,88,0,0,0,0,20,0,44,0,35,0,0,0,0,0,47,0,66,34,25,51,19,86,76,82,67,0
24:20.3,0,0,0,53,80,0,0,0,0,19,0,40,0,33,0,0,0,0,0,40,0,62,33,25,48,17,80,72,77,63,0
24:20.4,0,0,0,55,83,0,0,0,0,20,0,41,0,34,0,0,0,0,0,44,0,62,33,25,49,18,81,74,79,64,0
24:20.5,0,0,0,58,86,0,0,0,0,21,0,43,0,34,0,0,0,0,0,46,0,65,34,25,50,19,84,76,82,66,0
24:20.7,0,0,0,59,87,0,0,0,0,20,0,43,0,35,0,0,0,0,0,46,0,65,34,26,51,19,86,76,82,66,0
24:20.8,0,0,0,60,88,0,0,0,0,20,0,44,0,35,0,0,0,0,0,47,0,66,34,25,51,19,86,76,82,67,0
