time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
18:33.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
18:33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
18:33.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
18:33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
18:33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
18:33.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
18:33.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
18:33.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
18:34.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
18:34.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
18:34.4,0,0,19,0,0,0,35,68,133,91,0,0,0,40,0,18,0,48,0,130,0,91,65,23,0,0,0,28,18,0,0
18:34.4,26,14,164,81,39,0,36,36,148,122,0,24,0,17,0,0,0,10,0,129,0,111,64,0,0,0,40,93,0,55,0
18:34.5,46,131,210,131,69,0,78,46,137,117,0,9,0,0,0,1,0,22,0,133,0,102,45,0,0,14,141,141,0,59,0
18:34.6,0,179,245,143,76,0,33,0,96,91,0,0,0,0,0,0,0,37,0,113,0,73,26,0,0,27,171,128,35,44,0
18:34.7,0,167,217,155,85,0,0,0,66,55,0,0,0,0,0,0,0,45,0,89,0,42,24,0,37,35,164,125,82,102,0
18:34.9,0,136,189,149,101,0,9,0,42,37,0,0,0,0,0,0,0,42,0,76,0,31,26,0,51,34,153,105,96,140,0
18:34.9,0,149,200,154,111,0,0,0,44,37,0,0,0,0,0,0,0,39,0,81,0,30,22,0,45,28,134,36,73,126,0
18:35.1,50,166,202,152,115,0,22,0,62,43,0,0,0,0,0,0,0,47,0,85,0,40,18,0,31,22,120,18,49,104,0
18:35.2,59,183,235,172,122,0,30,0,83,53,0,0,0,0,0,0,0,42,0,79,0,39,16,0,31,25,123,17,46,107,0
18:35.3,43,181,237,180,123,0,33,0,88,59,0,0,0,0,0,0,0,39,0,68,0,34,19,0,39,28,123,23,53,112,0
18:35.4,40,177,233,174,118,0,46,0,92,64,0,0,0,0,0,0,0,28,0,58,0,23,19,0,41,30,126,30,60,117,0
18:35.5,18,172,235,177,108,0,54,0,94,70,0,0,0,0,0,0,0,20,0,50,0,16,19,0,44,31,119,46,74,131,0
18:35.6,0,162,237,186,109,0,56,0,90,78,0,0,0,0,0,0,0,16,0,45,0,13,19,0,45,31,117,63,90,144,0
18:35.7,0,180,246,187,106,0,69,0,84,90,0,8,0,1,0,0,0,16,0,39,0,10,13,0,33,31,113,69,98,142,0
18:35.9,0,177,247,193,106,0,83,0,81,106,0,8,0,0,0,0,0,7,0,30,0,7,9,0,18,31,114,93,116,143,0
18:36.0,0,167,243,204,116,0,90,0,69,113,0,10,0,0,0,5,0,0,0,25,0,8,4,0,9,32,110,107,138,145,0
18:36.1,0,153,234,201,126,0,92,0,60,112,0,12,0,0,0,0,0,0,0,21,0,8,3,0,1,32,112,108,146,147,0
18:36.2,0,145,224,200,135,0,95,0,52,111,0,13,0,0,0,0,0,0,0,26,0,8,10,0,13,32,110,107,147,152,0
18:36.3,0,145,221,199,137,0,95,0,43,108,0,15,0,0,0,0,0,1,0,29,0,9,12,0,10,30,97,84,127,133,0
18:36.4,0,147,225,202,141,0,102,0,39,107,0,17,0,0,0,0,0,1,0,36,0,9,13,0,1,29,87,67,114,126,0
18:36.5,0,148,223,203,143,0,106,0,38,105,0,18,0,0,0,0,0,2,0,39,0,9,15,0,1,29,86,72,117,130,0
18:36.7,0,148,223,203,144,0,105,0,34,103,0,18,0,0,0,0,0,4,0,41,0,9,15,0,3,29,87,74,120,132,0
18:36.8,0,148,222,203,144,0,106,0,30,102,0,18,0,0,0,0,0,4,0,41,0,10,15,0,5,29,88,76,121,132,0
18:36.9,0,147,219,202,144,0,106,0,27,100,0,18,0,0,0,0,0,5,0,42,0,10,15,0,2,29,87,74,121,131,0
18:37.0,0,147,218,202,142,0,108,0,27,99,0,20,0,0,0,0,0,5,0,41,0,10,15,0,0,28,81,64,121,130,0
18:37.1,0,145,214,201,143,0,109,0,26,94,0,21,0,0,0,0,0,5,0,41,0,9,15,0,0,28,81,56,118,129,0
18:37.2,0,143,208,200,144,0,112,0,25,92,0,21,0,0,0,0,0,5,0,43,0,10,15,0,0,28,82,62,120,129,0
18:37.4,0,135,188,195,144,0,111,0,23,89,0,20,0,0,0,0,0,5,0,42,0,10,15,0,3,28,86,65,123,131,0
18:37.6,0,129,174,187,134,0,111,0,22,86,0,21,0,0,0,0,0,6,0,46,0,10,16,0,7,28,90,60,119,131,0
18:37.7,0,117,154,175,122,0,105,0,21,83,0,20,0,0,0,0,0,6,0,48,0,10,16,0,18,28,100,68,119,134,0
