time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31 
11:24:12.024,0,21,0,56,55,0,100,90,135,149,164,78,147,35,39,66,82,61,136,113,91,91,88,47,26,4,63,0,0,0,0, 
11:24:12.149,0,20,8,63,54,0,95,84,121,134,140,74,127,33,34,65,82,63,133,116,94,93,89,45,28,5,81,33,9,0,0, 
11:24:12.269,0,17,30,62,55,0,81,79,119,135,130,75,121,35,32,68,84,64,136,116,97,104,91,30,37,9,83,45,43,0,0, 
11:24:12.380,0,8,31,64,53,0,79,80,122,132,126,76,115,35,31,70,88,66,140,120,97,101,86,31,34,14,84,42,44,0,0, 
11:24:12.483,0,4,25,60,50,0,70,76,118,132,126,77,116,34,26,69,94,66,152,119,102,96,86,40,33,8,82,40,37,0,0, 
11:24:12.586,0,2,0,47,51,0,69,69,119,129,131,76,120,29,27,69,101,68,158,115,106,94,82,51,27,5,77,27,17,0,0, 
11:24:12.696,0,3,0,39,51,0,71,66,118,127,133,74,122,25,28,69,108,69,167,114,111,94,84,59,29,4,76,18,10,0,0, 
11:24:12.807,0,7,0,35,52,0,73,66,119,126,133,74,123,25,28,71,112,72,172,119,115,95,88,63,30,5,79,26,18,0,0, 
11:24:12.945,0,7,0,34,55,2,72,67,120,123,134,71,123,24,29,72,116,73,179,121,118,92,85,65,30,5,78,26,25,0,0, 
11:24:13.054,0,7,0,32,56,9,73,68,119,120,129,69,119,21,29,73,120,75,180,123,121,90,82,65,33,6,77,27,27,0,0, 
11:24:13.166,0,9,0,33,54,13,72,68,112,111,114,67,107,21,29,73,129,78,182,128,128,89,82,68,46,14,81,31,40,0,0, 
11:24:13.277,0,9,0,28,55,25,67,66,109,105,100,62,98,21,28,74,132,84,186,129,132,90,83,71,49,17,82,29,45,0,0, 
11:24:13.401,0,15,0,31,55,33,65,65,108,103,95,61,96,20,25,79,128,91,185,131,134,91,85,74,58,20,82,30,60,0,0, 
11:24:13.491,0,15,0,33,55,30,65,65,110,104,100,63,100,22,25,82,128,92,186,133,133,95,87,77,59,20,84,32,64,0,0, 
11:24:13.617,0,14,0,35,56,31,67,65,110,104,104,64,103,23,25,82,128,95,185,134,131,95,89,80,59,22,84,32,51,0,0, 
11:24:13.728,0,14,0,31,55,28,66,65,110,104,106,64,104,23,26,84,131,95,186,134,133,96,90,81,62,22,85,34,43,0,0, 
11:24:13.837,0,14,0,28,56,28,64,65,110,105,108,65,106,25,26,86,131,93,186,132,132,97,91,82,63,24,85,35,46,0,0, 
11:24:13.946,0,15,0,23,55,23,63,65,111,106,114,67,110,28,27,85,129,87,186,128,132,100,92,80,64,24,82,38,43,0,0, 
11:24:14.069,0,11,0,13,54,19,64,65,112,107,120,68,115,27,28,83,126,85,187,129,130,101,93,79,63,24,81,38,38,0,0, 
11:24:14.195,0,12,0,14,58,26,64,66,114,108,121,68,118,27,30,87,126,90,190,136,134,103,95,82,63,21,81,34,40,0,0, 
11:24:14.289,0,12,0,15,58,30,56,62,111,109,117,67,116,27,30,87,122,88,190,135,143,105,98,82,63,23,81,37,40,0,0, 
11:24:14.416,0,7,0,7,53,27,44,52,106,108,114,65,115,28,30,81,118,80,190,127,151,105,98,82,66,24,81,39,40,0,0, 
11:24:14.538,0,7,0,8,56,23,49,54,106,109,117,65,119,28,31,80,116,80,188,127,145,104,94,78,60,20,82,38,39,0,0, 
11:24:14.649,0,8,0,11,57,22,56,56,107,110,121,67,122,28,32,81,115,78,182,128,135,101,90,75,50,23,83,35,35,0,0, 
11:24:14.761,0,11,0,12,58,21,60,59,110,111,126,67,125,29,38,83,114,78,177,129,132,101,91,73,44,23,83,40,42,0,0, 
11:24:14.868,0,11,0,12,58,20,60,59,109,112,127,67,127,30,38,85,114,78,175,128,126,101,91,73,42,23,83,43,42,0,0, 
11:24:14.978,0,11,0,11,58,22,59,59,109,112,129,67,128,31,39,85,112,79,172,128,124,101,91,72,38,23,83,43,44,0,0, 
11:24:15.101,0,10,0,11,58,23,59,60,109,113,130,69,130,31,41,86,114,80,173,128,124,102,91,73,38,23,84,42,44,0,0, 
11:24:15.211,0,7,0,10,57,22,56,59,108,112,131,68,132,30,41,85,113,80,171,128,122,102,90,73,35,23,84,40,44,0,0, 
11:24:15.354,0,7,0,10,57,24,55,58,106,112,133,68,132,30,42,83,112,79,171,129,123,102,90,73,34,23,84,39,44,0,0, 
11:24:15.457,0,6,0,10,57,23,57,59,106,112,132,69,133,29,43,83,113,80,170,128,122,102,89,73,32,23,84,38,43,0,0, 
11:24:15.563,0,6,0,10,57,23,59,59,106,112,133,70,135,30,43,84,113,80,170,128,122,102,90,73,31,23,84,38,42,0,0, 
11:24:15.664,0,6,0,10,56,23,59,60,105,113,136,70,136,29,44,83,113,80,171,128,122,102,90,73,31,24,83,38,42,0,0, 
11:24:15.775,0,5,0,9,56,24,59,59,105,113,136,70,136,29,45,83,114,80,172,127,123,102,90,73,30,25,83,38,42,0,0, 
11:24:15.900,0,6,0,9,56,25,59,60,105,113,138,70,138,29,46,84,114,81,172,128,123,102,90,74,30,25,84,38,42,0,0, 
11:24:16.008,0,5,0,8,56,26,59,60,106,113,139,70,139,28,46,84,115,81,173,127,123,102,90,74,29,25,84,37,40,0,0, 
11:24:16.133,0,5,0,8,55,25,58,60,106,114,139,71,140,27,48,84,115,82,173,127,123,102,91,75,30,25,84,37,40,0,0, 
11:24:16.243,0,4,0,8,55,24,58,60,105,114,143,70,142,28,51,86,116,83,174,127,123,102,90,75,30,25,83,33,33,0,0, 
11:24:16.352,0,4,0,7,54,24,57,60,105,114,145,71,145,28,53,85,116,83,174,127,123,103,91,76,30,25,84,35,34,0,0, 
11:24:16.477,0,4,0,7,54,24,56,59,104,114,146,72,145,27,54,85,116,84,175,128,123,103,92,76,30,26,83,35,36,0,0, 
11:24:16.588,0,4,0,6,54,25,56,60,104,114,146,72,146,27,55,85,116,84,176,129,124,103,92,77,31,25,83,34,36,0,0, 
11:24:16.697,0,3,0,6,54,25,57,60,104,114,148,72,147,26,54,85,117,84,176,129,125,103,92,77,31,25,83,34,35,0,0, 
11:24:16.807,0,3,0,6,53,24,54,60,103,114,148,72,146,26,54,85,117,84,177,129,125,103,93,77,30,25,82,33,35,0,0, 
11:24:16.946,0,3,0,5,53,25,52,59,103,114,150,72,146,25,52,85,117,84,178,129,126,104,92,77,31,24,82,34,35,0,0, 
11:24:17.048,0,3,0,5,53,24,53,60,103,114,151,72,147,26,52,85,116,84,178,130,126,104,93,78,30,25,81,33,35,0,0, 
11:24:17.155,0,3,0,5,53,23,54,60,103,115,151,72,147,26,54,85,115,84,176,129,126,104,93,77,31,25,80,32,33,0,0, 
11:24:17.269,0,3,0,5,53,22,55,60,103,115,151,72,147,27,54,84,116,84,176,129,126,104,93,77,31,25,80,32,33,0,0, 
11:24:17.383,0,2,0,5,53,20,56,61,103,115,151,73,146,27,50,84,114,83,175,129,125,104,94,77,30,25,78,30,31,0,0, 
11:24:17.492,0,2,0,4,52,18,56,61,104,116,154,73,146,26,48,84,114,83,176,129,126,104,94,78,31,24,78,30,30,0,0, 
11:24:17.633,0,2,0,4,53,20,56,61,103,115,155,74,147,26,48,84,114,83,177,130,127,105,94,78,31,25,78,30,31,0,0, 
