time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31 
16:51:47.477,0,53,76,104,118,0,132,53,81,94,229,103,218,95,103,0,0,0,170,27,196,39,70,110,84,25,110,55,86,100,60, 
16:51:47.590,0,54,73,92,106,0,126,50,78,92,222,104,202,94,101,0,0,0,182,33,218,43,75,117,97,37,112,61,92,106,62, 
16:51:47.699,0,54,71,90,104,0,130,49,80,90,219,91,196,82,101,0,0,0,187,39,224,47,78,122,102,38,118,67,101,113,63, 
16:51:47.806,0,55,75,96,109,0,131,49,83,93,218,91,193,85,99,0,0,0,197,42,223,51,80,124,104,39,123,73,106,117,65, 
16:51:47.930,0,55,75,97,109,0,132,48,86,93,216,90,194,85,100,0,0,0,196,44,203,53,78,108,88,22,129,74,106,117,63, 
16:51:48.042,0,53,76,99,113,0,135,49,89,96,217,90,195,84,100,0,0,0,204,47,191,56,80,107,82,24,145,80,107,120,65, 
16:51:48.166,0,55,82,103,114,0,129,43,90,90,202,77,174,61,92,0,0,0,235,57,199,62,85,116,90,32,159,92,112,121,64, 
16:51:48.274,0,54,83,100,109,0,116,38,84,81,182,59,152,37,83,0,0,0,251,71,228,70,89,125,110,40,170,105,117,120,62, 
16:51:48.383,0,53,81,95,99,0,95,33,78,77,174,53,147,25,80,0,0,0,253,82,244,74,93,130,117,43,174,114,121,125,64, 
16:51:48.495,0,51,72,86,83,0,76,29,72,69,165,47,143,18,77,0,0,0,253,89,251,76,94,132,121,44,174,118,121,126,65, 
16:51:48.619,0,52,73,88,89,0,77,28,69,65,161,47,142,17,77,0,0,0,255,99,255,78,94,134,124,43,181,120,123,127,66, 
16:51:48.713,0,53,80,96,98,0,92,30,69,71,170,48,145,18,76,0,0,0,240,86,238,73,87,117,101,26,176,105,110,113,52, 
16:51:48.838,0,51,83,98,108,0,108,37,75,77,185,56,154,27,76,0,0,0,218,71,200,66,83,109,92,22,167,95,102,103,49, 
16:51:48.961,0,51,84,103,117,0,116,41,79,86,195,66,161,35,80,0,0,0,226,71,203,66,84,113,94,26,169,96,105,105,50, 
16:51:49.074,0,53,88,108,119,0,115,40,83,88,192,64,160,30,81,0,0,0,239,76,222,71,88,118,106,32,176,102,110,110,55, 
16:51:49.186,0,54,88,108,120,0,114,40,84,90,192,65,162,30,83,0,0,0,243,81,223,74,90,122,111,38,180,106,111,112,56, 
16:51:49.294,0,56,89,109,120,0,117,41,85,91,194,65,164,31,84,0,0,0,243,80,221,75,91,125,111,30,181,107,112,113,58, 
16:51:49.400,0,55,87,109,123,0,117,41,85,93,196,67,165,32,85,0,0,0,243,81,229,76,91,126,117,41,183,109,114,116,60, 
16:51:49.524,0,54,86,107,123,0,116,42,84,95,196,68,166,32,85,0,0,0,243,81,229,77,93,129,120,42,185,110,115,117,60, 
16:51:49.633,0,54,87,106,120,0,119,43,84,94,197,69,167,33,85,0,0,0,234,79,219,75,93,125,114,37,182,109,114,114,58, 
16:51:49.744,0,53,87,102,118,0,120,44,84,94,201,71,169,38,84,0,0,0,220,73,200,70,90,120,108,32,174,105,110,110,55, 
16:51:49.854,0,51,87,106,123,0,123,46,86,96,203,73,170,40,84,0,0,0,213,73,195,69,90,119,106,28,175,101,109,108,55, 
16:51:49.976,0,51,87,105,123,0,126,46,88,96,204,73,172,37,85,0,0,0,208,74,205,71,90,124,115,42,178,105,113,112,56, 
16:51:50.106,0,54,91,109,123,0,126,46,90,92,200,67,168,30,83,0,0,0,205,81,213,72,91,125,115,39,185,107,114,111,58, 
16:51:50.211,0,55,94,110,126,0,125,44,91,95,198,68,167,32,83,0,0,0,197,83,210,74,91,127,117,39,186,108,115,112,59, 
16:51:50.324,0,57,93,111,126,0,125,43,91,95,199,69,169,32,84,0,0,0,190,83,205,74,91,126,117,39,187,109,115,113,60, 
16:51:50.444,0,57,93,113,130,0,128,46,93,98,202,71,171,33,85,0,0,0,188,83,200,75,89,118,109,30,190,108,113,113,61, 
16:51:50.555,0,57,95,115,133,0,129,49,94,101,205,72,171,34,85,0,0,0,185,81,196,75,86,105,98,20,190,106,111,109,59, 
16:51:50.664,0,57,97,118,136,0,133,52,97,104,209,73,173,34,84,0,0,0,187,79,204,73,83,94,88,18,189,99,107,105,56, 
16:51:50.793,0,58,98,119,138,0,135,54,98,107,215,76,177,37,86,0,0,0,191,78,210,72,79,86,77,17,188,98,105,103,53, 
16:51:50.884,0,57,94,118,139,0,133,52,95,104,216,78,179,37,88,0,0,0,187,76,204,71,80,88,79,20,187,99,106,104,55, 
16:51:51.008,0,57,95,117,136,0,134,51,95,105,216,79,179,39,88,0,0,0,189,76,205,72,80,89,79,20,186,101,107,103,54, 
16:51:51.135,0,59,98,119,139,0,138,54,98,107,218,80,181,40,88,0,0,0,187,76,202,72,79,90,78,20,187,102,107,103,54, 
