time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
00:04:37.875,0,0,0,0,0,0,0,0,0,39,0,26,6,0,1, 
00:04:37.987,0,0,0,0,0,0,0,0,0,35,0,23,5,0,1, 
00:04:38.112,0,0,0,0,0,0,0,0,0,32,0,20,5,0,1, 
00:04:38.208,0,0,0,0,0,0,0,0,0,44,0,15,0,0,0, 
00:04:38.290,0,0,0,0,0,0,0,0,0,79,0,20,0,0,2, 
00:04:38.415,0,0,0,0,0,0,0,0,0,78,0,17,7,0,5, 
00:04:38.509,0,0,0,0,0,0,0,0,0,79,0,16,9,0,6, 
00:04:38.617,0,0,0,0,0,0,0,0,0,79,0,17,6,0,6, 
00:04:38.712,0,0,0,0,0,0,0,0,0,68,0,14,0,0,6, 
00:04:38.822,0,0,0,0,0,0,0,0,0,61,0,12,0,6,6, 
