time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
00:03:24.810,0,0,0,0,0,0,0,0,0,67,0,0,34,0,22, 
00:03:24.931,0,0,0,0,0,0,0,0,0,12,0,0,1,0,9, 
00:03:25.034,0,0,0,0,0,0,0,0,0,13,0,0,27,0,18, 
00:03:25.143,0,0,0,0,0,0,0,0,0,53,0,0,41,0,19, 
00:03:25.255,0,0,0,0,0,0,0,0,0,47,0,0,44,0,18, 
00:03:25.352,0,0,0,0,0,0,0,0,0,48,0,0,41,0,14, 
00:03:25.454,0,0,0,0,0,0,0,0,0,19,0,0,37,0,12, 
00:03:25.564,0,0,0,0,0,0,0,0,0,31,0,0,20,3,9, 
00:03:25.665,0,0,0,0,0,0,0,0,0,43,0,0,28,17,6, 
00:03:25.774,0,0,0,0,0,0,0,0,0,47,0,0,39,21,11, 
