time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
04:38.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
04:38.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
04:39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
04:39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
04:39.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
04:39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
04:39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
04:39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
04:39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
04:39.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
04:39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
04:40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
04:40.1,0,0,0,0,0,0,0,18,55,46,0,32,0,10,0,0,0,3,0,29,0,13,9,0,0,0,0,0,0,0,0
04:40.2,0,27,94,21,58,0,0,13,128,93,0,52,4,39,0,38,1,65,0,87,0,39,48,51,0,0,0,2,0,0,0
04:40.4,0,0,64,32,44,0,12,22,119,81,0,44,0,39,0,39,0,65,0,91,0,43,54,63,0,0,0,7,0,0,0
04:40.5,0,8,119,92,94,0,16,6,139,99,0,38,4,42,0,45,14,67,0,86,0,69,73,61,4,0,27,39,39,14,0
04:40.6,0,90,126,120,112,0,70,0,118,83,0,39,4,24,0,21,18,58,0,69,0,68,79,42,23,33,91,89,75,46,0
04:40.7,0,129,141,167,144,0,76,0,99,83,0,35,0,10,0,10,22,55,0,62,0,43,60,61,43,40,129,123,113,138,0
04:40.8,21,132,126,170,149,0,59,0,72,80,0,23,0,0,0,0,18,32,0,44,0,32,23,44,33,38,126,117,126,152,0
04:40.9,27,97,103,167,155,0,47,0,50,72,0,20,0,0,0,0,17,25,5,40,0,29,24,44,36,38,122,112,144,157,0
04:41.1,30,96,109,168,154,0,49,0,53,78,0,25,4,0,0,0,22,33,9,44,0,39,24,36,36,33,128,109,132,147,0
04:41.2,29,100,116,175,153,0,51,0,55,85,0,30,16,1,0,0,22,33,9,45,0,35,22,12,20,23,115,89,105,122,0
04:41.3,32,107,127,181,151,0,58,0,68,92,0,46,47,0,0,0,20,31,9,48,0,28,15,4,11,19,101,69,77,105,0
04:41.4,34,126,136,182,151,0,50,0,76,99,0,61,73,0,0,0,15,25,7,46,0,20,14,0,2,16,89,53,64,82,0
04:41.5,41,140,163,201,156,0,63,0,81,104,0,67,67,0,0,0,14,19,0,51,0,25,17,0,3,19,90,52,66,82,0
04:41.6,44,138,152,196,158,0,63,0,80,105,0,73,67,0,0,0,12,16,0,48,0,25,18,0,2,17,83,46,58,61,0
04:41.7,46,134,143,192,160,0,66,0,79,107,0,77,70,0,0,0,6,7,0,41,0,24,17,0,3,15,76,40,55,52,0
04:41.9,48,133,138,193,164,0,68,0,78,107,0,83,78,0,0,0,7,0,0,36,0,24,17,0,3,14,73,37,52,43,0
04:42.0,38,121,123,180,160,0,70,0,82,108,0,87,79,0,0,0,7,0,0,33,0,23,18,0,0,12,70,34,51,39,0
04:42.1,25,110,107,169,162,0,71,0,86,105,0,86,66,0,0,0,6,0,0,33,0,25,21,0,2,12,73,40,53,50,0
04:42.2,22,96,88,158,158,0,62,0,70,91,0,75,50,0,0,0,5,0,0,34,0,26,23,5,11,14,82,49,62,77,0
04:42.3,24,83,72,141,147,0,54,0,51,79,0,54,40,0,0,0,8,0,0,38,0,29,35,19,18,24,93,67,80,107,0
04:42.4,24,70,65,133,136,0,51,0,42,66,0,47,32,0,0,0,12,9,0,38,0,34,47,26,22,27,105,81,95,120,0
04:42.5,23,69,51,117,116,0,42,0,38,43,0,43,26,0,0,0,14,23,8,49,0,38,51,32,25,27,109,90,99,129,0
04:42.6,22,68,45,112,106,0,35,0,37,32,0,43,25,0,0,0,16,35,13,60,0,39,53,38,27,26,113,100,102,133,0
04:42.8,21,67,38,107,107,0,25,0,37,25,0,41,23,0,0,0,18,44,16,70,0,40,53,40,28,25,118,110,104,136,0
04:42.9,20,63,39,106,110,0,20,0,37,21,0,40,20,0,0,0,20,50,18,74,0,43,56,45,28,25,122,117,106,139,0
04:43.0,17,61,36,101,106,0,18,0,36,19,0,41,21,0,0,0,23,53,18,75,0,44,55,44,28,24,124,117,104,140,0
04:43.1,15,65,40,102,109,0,17,0,36,16,0,38,22,0,0,0,29,59,18,84,0,55,52,44,27,25,127,118,103,140,0
04:43.2,0,59,34,94,106,0,15,0,32,12,0,34,16,0,0,0,32,62,18,86,0,65,55,46,30,23,132,123,103,141,0
04:43.3,0,57,32,90,107,0,14,0,30,11,0,35,11,0,0,2,39,64,20,99,0,79,64,56,43,22,138,131,104,146,0
04:43.4,0,61,35,85,102,0,9,0,26,8,0,28,9,0,0,2,40,74,21,109,0,81,62,52,48,23,148,127,94,146,0
04:43.5,0,61,37,89,101,0,8,0,27,10,0,31,11,0,0,1,40,76,21,108,0,78,58,42,47,19,148,113,86,143,0
04:43.7,0,60,43,98,109,0,13,0,30,22,0,34,20,0,0,4,38,78,20,107,0,73,55,43,40,21,148,104,85,140,0
04:43.8,0,65,50,105,115,0,16,0,33,26,0,35,23,0,0,2,37,81,20,106,0,70,53,40,35,21,146,99,84,135,0
04:43.9,0,67,52,106,115,0,17,0,34,29,0,37,25,0,0,5,37,82,20,108,0,71,53,38,37,19,146,96,80,134,0
04:44.0,0,69,55,108,116,0,16,0,35,31,0,38,26,0,0,4,39,82,20,109,0,73,54,40,39,19,146,96,79,137,0
04:44.1,0,68,52,106,115,0,16,0,35,34,0,39,31,0,0,2,38,81,20,108,0,71,54,42,40,17,146,96,80,139,0
04:44.2,0,67,52,105,115,0,15,0,35,39,0,37,34,0,0,1,39,73,20,104,0,70,55,44,39,17,142,93,80,140,0
04:44.4,0,68,55,106,113,0,13,0,36,47,0,38,36,0,0,0,35,58,20,92,0,65,54,43,29,13,128,87,76,139,0
04:44.5,0,69,59,111,114,0,14,0,39,59,0,40,42,0,0,0,33,51,19,85,0,56,53,42,27,14,120,83,75,139,0
04:44.6,0,68,55,109,110,0,8,0,36,56,0,42,44,0,0,0,30,40,19,69,0,45,53,41,26,15,110,68,73,139,0
04:44.7,0,70,63,119,122,0,17,0,37,57,0,43,44,0,0,0,33,51,19,75,0,50,50,40,23,16,122,84,82,140,0
04:44.8,0,70,65,123,126,0,19,0,36,59,0,45,42,0,0,0,31,56,19,82,0,58,54,42,27,14,127,85,83,140,0
04:44.9,0,70,64,123,124,0,16,0,35,55,0,45,41,0,0,0,28,57,19,83,0,63,55,46,28,14,129,87,84,140,0
04:45.0,0,73,66,123,125,0,19,0,38,54,0,46,42,0,0,0,28,62,19,91,0,69,56,47,29,12,132,91,84,140,0
04:45.2,0,74,69,125,127,0,21,0,39,58,0,48,42,0,0,0,26,65,19,94,0,71,57,48,29,12,134,91,86,139,0
04:45.3,0,74,71,126,128,0,21,0,40,61,0,49,42,0,0,0,22,65,18,92,0,67,55,45,29,12,133,88,86,139,0
04:45.4,0,74,69,125,130,0,22,0,40,63,0,49,43,0,0,0,21,67,18,92,0,66,56,46,29,12,133,88,86,139,0
04:45.5,0,72,65,123,129,0,22,0,39,62,0,49,44,0,0,0,20,68,18,93,0,67,58,46,30,12,134,89,87,139,0
04:45.6,0,72,66,124,130,0,23,0,38,63,0,50,44,0,0,0,21,69,19,95,0,68,58,47,30,13,135,89,87,139,0
04:45.7,0,72,68,125,131,0,23,0,40,64,0,50,44,0,0,0,21,70,19,96,0,68,58,47,29,13,135,88,87,139,0
04:45.8,0,73,68,125,131,0,23,0,40,65,0,50,44,0,0,0,21,71,19,96,0,69,58,47,30,13,135,88,87,139,0
04:45.9,0,73,68,126,131,0,23,0,40,65,0,50,44,0,0,0,21,71,18,96,0,67,58,48,29,13,135,88,88,139,0
04:46.1,0,73,69,126,131,0,23,0,40,65,0,50,45,0,0,0,21,71,19,97,0,67,58,48,29,13,135,88,88,139,0
04:46.2,0,73,68,126,132,0,23,0,40,65,0,50,45,0,0,0,21,71,19,97,0,66,58,48,30,13,136,88,88,139,0
04:46.3,0,73,68,126,132,0,24,0,40,66,0,51,45,0,0,0,21,72,18,97,0,66,58,49,29,12,135,87,89,139,0
04:46.4,0,73,68,127,132,0,24,0,40,65,0,51,45,0,0,0,21,72,17,98,0,67,58,49,29,12,136,87,89,139,0
04:46.5,0,73,68,127,132,0,24,0,40,66,0,51,45,0,0,0,21,72,19,98,0,66,58,49,30,12,136,87,89,139,0
04:46.6,0,73,70,127,132,0,24,0,40,66,0,51,45,0,0,0,21,72,19,98,0,66,58,49,29,12,136,87,90,139,0
04:46.8,0,72,71,128,132,0,24,0,40,66,0,52,45,0,0,0,21,72,19,98,0,66,58,49,29,12,137,86,90,139,0
04:46.8,0,73,70,128,132,0,24,0,40,66,0,51,45,0,0,0,22,72,19,98,0,66,58,49,30,12,137,86,90,138,0
04:46.9,0,73,71,128,133,0,24,0,40,65,0,52,46,0,0,0,21,73,19,98,0,66,58,49,29,12,137,86,90,138,0
04:47.1,0,73,71,128,132,0,24,0,40,66,0,52,45,0,0,0,21,73,20,98,0,66,58,49,29,11,137,86,90,138,0
04:47.2,0,73,71,128,132,0,24,0,40,66,0,52,45,0,0,0,21,73,19,98,0,66,58,49,29,11,137,85,91,138,0
04:47.3,0,74,71,128,132,0,24,0,40,66,0,52,46,0,0,0,21,73,20,98,0,66,58,49,29,10,137,85,91,138,0
04:47.4,0,73,71,129,132,0,25,0,41,66,0,52,45,0,0,0,22,73,19,99,0,66,58,50,29,11,137,85,91,138,0
04:47.5,0,73,71,128,133,0,25,0,40,66,0,52,45,0,0,0,21,73,19,99,0,65,58,50,29,11,137,85,91,138,0
04:47.6,0,73,71,128,133,0,25,0,41,66,0,52,46,0,0,0,21,74,19,100,0,65,58,50,30,11,138,85,92,138,0
04:47.8,0,74,71,129,133,0,25,0,40,66,0,52,45,0,0,0,22,74,20,99,0,65,57,50,29,11,138,85,92,138,0
04:47.9,0,74,72,129,133,0,25,0,41,66,0,52,45,0,0,0,22,74,20,100,0,65,57,50,30,11,138,85,92,138,0
04:48.0,0,74,71,129,133,0,26,0,41,66,0,52,45,0,0,0,21,74,21,100,0,65,58,50,30,11,138,85,92,138,0
04:48.1,0,74,72,129,133,0,26,0,40,66,0,53,45,0,0,0,21,74,21,100,0,65,58,50,30,11,138,85,92,138,0
04:48.2,0,74,71,129,133,0,26,0,40,66,0,53,45,0,0,0,22,74,22,100,0,66,58,50,29,10,138,85,92,138,0
04:48.3,0,74,72,129,133,0,25,0,40,66,0,53,45,0,0,0,22,75,22,100,0,66,58,51,30,11,138,84,92,138,0
04:48.4,0,74,72,129,133,0,26,0,40,66,0,53,45,0,0,0,22,74,22,100,0,66,58,50,30,10,138,84,92,138,0
04:48.5,0,74,72,129,133,0,26,0,40,66,0,53,45,0,0,0,22,75,22,100,0,66,58,51,30,11,138,84,92,138,0
04:48.7,0,74,72,130,133,0,26,0,40,66,0,53,45,0,0,0,22,74,23,100,0,66,58,51,29,10,138,84,93,138,0
04:48.8,0,74,72,130,133,0,26,0,40,66,0,52,45,0,0,0,22,75,23,100,0,66,58,51,30,10,139,84,93,137,0
04:48.9,0,74,72,130,133,0,26,0,40,66,0,53,45,0,0,0,22,75,24,100,0,67,58,51,29,10,139,84,93,138,0
04:49.0,0,74,72,130,133,0,26,0,40,66,0,53,45,0,0,0,22,75,24,100,0,67,58,51,30,10,139,84,93,137,0
04:49.1,0,74,73,130,133,0,26,0,40,66,0,53,45,0,0,0,22,75,25,100,0,67,57,51,30,10,139,84,93,138,0
04:49.2,0,74,73,130,133,0,26,0,40,66,0,53,46,0,0,0,22,75,25,101,0,67,58,51,30,10,139,84,93,137,0
04:49.4,0,74,73,130,133,0,26,0,40,66,0,53,46,0,0,0,22,75,25,101,0,67,59,51,30,10,139,84,93,138,0
04:49.5,0,74,74,131,133,0,26,0,40,66,0,53,46,0,0,0,22,75,26,100,0,67,59,51,30,10,139,83,93,137,0
04:49.6,0,74,74,131,134,0,26,0,40,66,0,53,46,0,0,0,22,75,27,100,0,67,58,52,30,10,139,83,93,137,0
04:49.7,0,74,73,130,134,0,27,0,39,66,0,53,46,0,0,0,22,75,29,100,0,67,58,51,30,10,139,83,93,137,0
04:49.8,0,74,73,131,133,0,26,0,40,66,0,53,46,0,0,0,22,75,29,101,0,67,58,51,30,10,139,83,94,137,0
04:49.9,0,74,73,131,133,0,26,0,39,67,0,53,45,0,0,0,22,75,30,101,0,67,58,51,30,10,139,83,94,137,0
04:50.0,0,74,73,131,134,0,26,0,40,67,0,53,46,0,0,0,22,75,31,101,0,67,58,51,31,10,139,83,94,137,0
